NR.Region,NR.District,Area,Other.Area,Plan.URL,Plan.Type,Plan.Name,Date,Publisher,BC.Park,National.Park,Connectivity.Reference,Connectivity.Management.Strategy,Connectivity.Defined,Connectivity.Pages,Connectivity.Information,OGWG_Connectivity.Practices.Addressed,OGWG_Connectivity.LegalTools.Methods.Implement.Practices,OGWG_Connectivity.Additional.Info,Connectivity.References,Connectivity.Ref.Diag1,Connectivity.Ref.Diag2,Connectivity.Ref.Diag3,Connectivity.Ref.Diag4,Connectivity.Ref.Diag5,Connectivity.Appendices,Connectivity.Corridor.Reference,Corridor.Reference,Corridor.Management.Strategy,Corridor.Defined,Corridor.Pages,Corridor.Information,OGWG_Corridor.Practices.Addressed,OGWG_Corridor.LegalTools.Methods.Implement.Practices,OGWG_Corridor.Additional.Info,Corridor.References,Corridor.Ref.Diag1,Corridor.Ref.Diag2,Corridor.Ref.Diag3,Corridor.Appendices,WildlifeMovement.Information,Network.Reference,Network.Management.Strategy,Network.Defined,Network.Pages,Network.Type,Network.Information,OGWG_Network.Practices.Addressed,OGWG_Network.LegalTools.Methods.Implement.Practices,OGWG_Network.Additional.Info,Network.References,Network.Ref.Diag1,Network.Ref.Diag2,Network.Ref.Diag3,Network.Appendices
West Coast,"Campbell River, Sunshine Coast",Johnstone-Bute,NA,https://www2.gov.bc.ca/assets/gov/farming-natural-resources-and-industry/natural-resource-use/land-water-use/crown-land/land-use-plans-and-objectives/coastal-marine/johnstone-bute-coastal-plan/johnstone_bute_coastal_plan.pdf,Coastal Plan,Johnstone-Bute Coastal Plan,2004,BC Government,No,No,No,No,No,NA,"Connectivity is not mentioned.

No management objectives or strategies referring to wildlife/habitat connectivity.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,No,"pp. 13, 15-16, 18, 21.","Plan contains a chart attributing marine corridors (e.g., salmon and herring rearingcorridors) to various subunits within the protected area.

Speaks on the importance of low and high current channels and inlets to salmon migration corridors.

No management objectives/strategies for ecological corridors.

Corridors are not defined or supported with citations.",NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,NA,NA,No mention of ecological networks or their management.,NA,NA,NA,NA,NA,NA,NA,NA
West Coast,"Campbell River, North Island - Central Coast, Coast Mountains",Central Coast,NA,https://www2.gov.bc.ca/assets/gov/farming-natural-resources-and-industry/natural-resource-use/land-water-use/crown-land/land-use-plans-and-objectives/westcoast-region/centralcoast-lrmp/consolidated_central_coast_lrmp_completion_table_recommendations.pdf,Land and Resource Management Plan (LRMP),Central Coast LRMP Completion Table: Report of Consensus Recommendations to the Provincial Government and First Nations,2004,BC Government,No,No,Yes,Yes,No,"pp. 19, 22, 39, 43, appendix 4 - 3, 6, 12, appendix 5 - 17, 37, 54, appendix 8 - 4.","Plan states that connectivity for focal, blue, and red wildlife species is a listed representative target to be deployed to enhance conservation of ecological reserves.

Established general management objectives for connectivity corridors: 1) identify/protect functional levels of habitat, travel migration corridors, and breeding grounds; and 2) ensure ongoing inventory/monitoring of wildlife migration corridors.

Species specific management objective: maintain the function of and connectivity amongst critical grizzly bear habitats, including functional visual (security) and resting (bedding) cover; several subsequent strategies have been established (see appendix 77).

The Upper Klinaklini and Koeye Protected Areas are recognized for providing connectivity values.

Connectivity is not defined.",NA,NA,NA,"Ecosystem-Based Management Planning Handbook (EBM Handbook) - plan states that the objectives and strategies for endangered and rare ecosystems/species and focal species flow primarily from the EBM Handbook (connectivity corridors and connectivity for focal, blue and red wildlife species).",Ecosystem-Based Management Planning Handbook (EBM Handbook),NA,NA,NA,NA,Appendix 77: Connectivity References in the Central Coast Land and Resource Management Plan (CCLRMP) Completion Table ,No,Yes,Yes,No,"pp. 5, 34, 39, appendix 5 - 18, appendix 8 -2.","Plan recognizes the central coast as a vital corridor for migrating birds - especially shorebirds and waterfowl.

The plan includes mention of an unresolved management strategy that where WLAP identifies bat sub-species, movement corridors will be identified.

Established strategy for endangered/rare species management: ""identify and reserve key wildlife migration/movement corridors.""

Established strategy for migration corridors: 1) identify/protect functional levels of habitat, travel migration corridors and breeding grounds; and 2) ensure ongoing inventory/monitoring of migration corridors.

Plan recognizes travel corridors exist for grizzly bear between interior and coast habitat-access to salmon runs within the Upper Klinaklini Protection Area.

Corridors are not defined.",NA,NA,NA,"Ecosystem-Based Management Planning Handbook (EBM Handbook) - plan states that the objectives and strategies for endangered and rare ecosystems/species and focal species, 
flow primarily from the EBM Handbook (migration corridors).",Ecosystem-Based Management Planning Handbook (EBM Handbook),NA,NA,NA,NA,Yes,Yes,No,pg. 33.,Forest Ecosystem Network,"Established management objective: maintain ecological representation; subsequent strategy: ""consider the incorporation of previously established FENs in the delineation and designation of ecosystem representation reserves.""

The plan states that ""the Kitasoo Spirit Bear contributes to a network of protection areas, which capture a cross section of biodiversity from Island type ecosystems to Interior ecosystems.""

FENs are not defined.",NA,NA,NA,Ecosystem-Based Management Planning Handbook (EBM Handbook) - plan states that the objectives and strategies for ecological representation flow primarily from the EDM Handbook.,Ecosystem-Based Management Planning Handbook (EBM Handbook),NA,NA,NA
West Coast,"North Island - Central Coast, Coast Mountains",NA,Huchsduwachsdu Nuyem Jees/ Kitlope Heritage Conservancy,https://nrs.objectstore.gov.bc.ca/kuwyyf/huchsduwachsdu_nuyem_jees_kitlope_heritage_cs_mp_20120523_aed6ca7142.pdf,Management Plan for a Protected Area or Provincial Park,Huchsduwachsdu Nuyem Jees/ Kitlope Heritage Conservancy  Management Plan,2012,BC Government,Yes,No,Yes,No,No,"pp. 12-13, 16.","The conservancy plan includes a section on ecosystem connectivity and diversity.

The protected area is recognized to provide ecosystem connectivity along a full gradient from coast to alpine - protecting coastal Douglas-fir and low elevation subalpine fir.

""The conservancy... provides the connectivity of wildlife habitats from the coast to the interior plateau, allowing unimpeded movement of wildlife between seasonal habitats and contributing to the functional integrity of large predator-prey system.""

Several marine/terrestrial wildlife are listed within the protected area (e.g., encourage research that increases knowledge of wildlife vulnerabilities to disturbance and displacement.) - but connectivity is not referenced in any management objectives/strategies.

Connectivity is not defined or supported with citations.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,No,pg. 17.,"The forest canopy in the conservancy is recognized for providing snow interception and valuable movement corridors for ungulates during winter.

There is no management objectives/strategies referencing ecological corridors.

Corridors are not defined or supported with citations.",NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,NA,NA,No mention of ecological networks or their management.,NA,NA,NA,NA,NA,NA,NA,NA
West Coast,"North Island - Central Coast, Campbell River, Coast Mountains",NA,Great Bear Rainforest,https://www2.gov.bc.ca/assets/gov/farming-natural-resources-and-industry/natural-resource-use/land-water-use/crown-land/land-use-plans-and-objectives/westcoast-region/great-bear-rainforest/great_bear_rainforest_land_use_objectives_order_june_2023.pdf,Land Use Objectives Order,Great Bear Rainforest Land Use Objectives Order,2023,BC Government,No,No,Yes,Yes,No,"pp. 6, 19, 34-35.","The plan establishes different connectivity objectives for the Great Bear Rainforest, the Central/North Coast, and the South Central Coast.

For the Great Bear Rainforest, the plan establishes an objective for landscape reserve designs of landscape units that factors in connectivity: ""for each landscape unit in the order area, a landscape reserve design must be prepared by a qualified professional that addresses the minimum old forest retention levels specified..., and, to the extent practicable, contributes to... the protection, connectivity and stewardship of [several listed ecological features]"" (see appendix 105).

For both the Central/North Coast and the South Central Coast - there is an established objective to maintain 100% of class 1 grizzly bear habitat, however, it may be alterered/harvest if a qualified professional ""[confirms] that the alteration or harvesting will result in no net loss of class 1 grizzly bear habitat and connectivity and no functional loss of habitat connectivity.""

There is a management strategy stating that management zones may be modified for type 1 and type 2 aquatic habitat, and forested swamps ""provided that an assessment has been prepared by a qualified professional that specifies measures to maintain local terrestrial habitat needs and linkages to other reserves""

Connectivity is not defined or supported with citations.",NA,NA,NA,NA,NA,NA,NA,NA,NA,Appendix 105: Connectivity References in the Great Bear Rainforest Land Use Objectives Order ,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
West Coast ,Haida Gwaii,NA,Kamdis Heritage Site,https://nrs.objectstore.gov.bc.ca/kuwyyf/kamdis_heritage_site_cs_mp_20110729_a2d2acdfb8.pdf,Management Plan for a Protected Area or Provincial Park,Kamdis Management Plan,2011,Haida Nation and BC Government,Yes,No,No,No,No,NA,"Connectivity is not mentioned.

No management objectives or strategies referring to wildlife/habitat connectivity.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,NA,"Wildlife/ecological corridors not mentioned.

No management objectives or strategies referring to ecological corridors.",NA,NA,NA,NA,NA,NA,NA,NA,"Conservancy's natural heritage section within the plan: ""much of the area is exposed at low tide, and the resulting sheltered and productive habitats are important migration, rearing and feeding areas for many wildlife species using the area.""",No,No,No,NA,NA,No mention of ecological networks or their management.,NA,NA,NA,NA,NA,NA,NA,NA
West Coast,Regional,Vancouver Island,NA,https://www2.gov.bc.ca/assets/gov/farming-natural-resources-and-industry/natural-resource-use/land-water-use/crown-land/land-use-plans-and-objectives/westcoast-region/vancouverisland-rlup/vancouver_island_slup.pdf,Land Use Plan (LUP),Vancouver Island Summary Land Use Plan,2000,BC Government,No,No,Yes,Yes,No,"pp. 38, 40, 52, 56, 60, 62, 66, 70, 76, 82, 92-93, 104, 111, 132, 138, 163, 178.","Established management objectve: ""sustain forest ecosystem structure and function in SMZs...""; subsequent management strategy: ""maintain mature and/or old seral forest connectivity.""

For Special Management Zones (SMZs) - established Special Wildlife Management Regime management objective: ""To provide suitable habitat for wildlife species identified as primary values""; subsquent strategy: ""apply stand and landscape level measures in accordance with the [FPC], Cabinet-approved wildlife strategies and applicable biodiversity objectives, focusing on habitat elements and interior conditions associated with oldgrowth forests, as well as habitat connectivity.""

For General Management Zones (GMZs) - established general biodiversity conservation management regime management strategies: 1) ""connectivity will be achieved primarily through the distribution of patch sizes, through areas excluded from the timber harvesting land base, and through stand level management, as well as, where possible, the design of forest linkages,"" 2) ""management for connectivity objectives must not result in the area of old seral forest exceeding the retention targets for lower biodiversity emphasis.""

For General Management Zones (GMZs) - established basic biodiversity conservation management regime management strategies: 1) ""connectivity will be achieved primarily through the distribution of patch sizes, through areas excluded from the timber harvesting land base, and through stand level management, as well as, where possible, the design of 
forest linkages,"" and 2) ""management for connectivity objectives must not result in the area of old seral forest exceeding the retention targets for lower biodiversity emphasis.""

Connectivity values are cited for several SMZs and RMZs within the plan area - connectivity-related management strategies have been established for the Upper Qualicum, Koprino, Marble, and Kashutl, E&N South, Tahsish, and Salmon zones (see appendix 31).

Connectivity is abundantly mentioned, but is not defined.",Partial,All the Special Management Zones (SMZs) and some General Management Zones (GMZs) (also referred to as Resource Management Zones) mentioned in the Vancouver Island Summary Land-Use Plan have been made legal through the Vancouver Island Land Use Plan Higher Level Order (HLPO). All Enhanced Forestry Zones (EFZs) on Vancouver Island have also been made legal under the HLPO.  The majority of the General Management Zones (GMZs) are non-legal but foresters may still look at guidance in VILUP Summary document. ,"The VILUP Summary document is not legal so many of the management regimes mentioned were never fully implemented as licensees are only legally required to follow the legal Higher Leval Plan Order. The summary document can be used as guidance however for resource practioners (i.e. foresters, biologists) that are involved in operational planning for forestry. It is diificult to assess if the VILUP legal objectives have been acheived as little monitoring has occured since the plan was put into place twenty years ago. In general, higher amounts of mature and old growth forests occur in SMZs (especially on Northern Vancouver Island) however monitoring for connectivity has not occured up to this point. As demonstrated in the CEFs Current Condition Report for Old Growth Forest on Vancouver Island (2019), all SMZs, with the exception of the Upper Qualicum SMZ meet the mature plus old VILUP legal targets.","Forest Practices Code (FPC) - plan references it will apply stand and landscape level measures in accordance 
with the FPC, ""Cabinet-approved wildlife strategies and 
applicable biodiversity objectives, focusing on habitat 
elements and interior conditions associated with oldgrowth forests, as well as habitat connectivity.""

Low Intensity Areas Review Committee (LIARC) Report - plan states that it has developed management objectives/strategies consistent with the FPC and the LIARC report; primary ecological values of each management zone refer to the LIARC report (some reference connectivity as a value).",Forest Practices Code (FPC),Low Intensity Areas Review Committee (LIARC) Report,NA,NA,NA,Appendix 31: Connectivity References in the Vancouver Island Summary Land Use Plan (VISLUP) ,No,Yes,Yes,No,"pp. 9, 60, 172, ","The plan recognizes the narrow channels of the Johnstone Strait and the Stait of Juan de Fuca as important migratory corridors.

There is a high-value riparian corridor recognized in SMZ-8: Tsitika River.

In RMZ-22: Gold - it is established as an overall managemetn direction that: landscape level development of riparian recovery plan for the Gold-Muchalat-Oktwanch-Nimpkish riparian corridor is recommended - but no details on this are included.

Within RMZ-24: Burman, there is a management strategy established to give special consideration for the Burman River riparian corridor into Strathcona - fails to expand further.

Corridors are not defined or supported with citations.",Partial,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,No,"pp. 26-27, 29.",Protected Areas Network,"The plan establishes a strategic direction to establish a Protected Areas Network - which aims to expand Vancouver Islands protected areas from 10.3% to 13% to enhance conservation, recreation, and cultural heritage, aligning with the 1993 provincial Protected Areas Strategy (PAS).

The network will prioritize underrepresented ecosystems (PAS Goal 1) and areas with unique cultural, recreational, or environmental features (PAS Goal 2). Crown lands in these designated areas will gain immediate legal protection, while private lands are considered for acquisition to meet the 13% target if they possess similar ecological features.

This strategic direction is derived from other government policy documents, including the 1994 Land Use Decision and subsequent reports.",Yes,The Protected Areas Network was implented through the Parks Act in the form of provincial parks and ecological reserves. 13% of the land area of Vancouver Island was protected after the VILUP planning process was completed.,NA,"1994 Land Use Decision - the plan states that the strategic direction to establish the network is derived from governments 1994 Land Use Decision, COREs 1994 Recommended Land Use Plan, governments 1996 Special Feature Protected Areas Decision, and its 1997 Resource Management Zones Report.

Vancouver Island Land Use Plan (VILUP) - plan states that the VILUP is the primary mechanism for contributing to the Protected Areas Strategy on Vancouver Island for the establishment of a Protected Areas Network.",1994 Land Use Decision,Vancouver Island Land Use Plan (VILUP),NA,NA
West Coast,North Island - Central Coast,Upper Nimkish,NA,https://www2.gov.bc.ca/assets/gov/farming-natural-resources-and-industry/natural-resource-use/land-water-use/crown-land/land-use-plans-and-objectives/westcoast-region/northislandcentralcoast-lu/upper_nimpkish_lup.pdf,Sustainable Resource Management Plan (SRMP),Sustainable Resource Management Plan: Biodiversity Chapter for the Upper Nimpkish Landscape Unit,2005,BC Government,No,No,Yes,No,No,"pp. 6, 9, 36, 56.","The plan recognizes the Woss-Zeballos, and Tsitika-Woss Resource Management Zones (RMZs) for their connectivity functions; Tsitika-Woss is recognized for the connectivity functions of restoration and landscape level planning of old growth and riparian habitats.

""OGMA UN-178 extends along Schoen Creek with the intent of providing connectivity to Schoen Park as recommened in the Vancouver Island Land Use Plan (VILUP).""

The plan lists connectivity as an ecological attribute for OGMA replacement, among others (e.g., forest interior habitat, patch size, suitable tree species, height, diameter), if the replacement of an OGMA is necessary.

No management objectives/strategies concerning connectivity.

Connectivity is not defined.",Partial,Upper Nimpkish Order to Establish Landscape Unit and Objectives (Forest Practices Code).,"While connectivity has not been specificaly included as a managment practise, it has been  partially adressed in plan as legal OGMAs have been established and an attempt has been made to connect OGMAs to other legal reserves including WHAs, UWRs, and parks/ecological reserves. TFL 37 FLP is currently being reviewed which will likely increase connectivity in the Upper Nimpkish LU through a Conservation Network of legal reserves, riparian areas, and carbon reserves. Regarding the VILUP SMZs, an adequate amount of mature + old forest is retained that contributes to connectivity ",Vancouver Island Land Use Plan (VILUP) - establishes connectivity management directions that are referred to for OGMA UN-178.,Vancouver Island Land Use Plan (VILUP),NA,NA,NA,NA,NA,No,Yes,No,No,pg. 51. ,"The plan recognozies OGMA unit UN-053 for containing elk and riparian corridors.

No management objectives/strategies concerning ecological corridors.

Corridors are not defined or supported with citations.",Yes,Upper Nimpkish Order to Establish Landscape Unit and Objectives (Forest Practices Code).,An attempt was made to create corridors through establishing legal OGMAs and other reserves including WHAs and UWRs. OGMAs were also designed to connect major parks including Schoen Lake Provincial Park to legal crown reservs. ,NA,NA,NA,NA,NA,NA,No,No,No,NA,NA,No mention of ecological networks or their management.,No,NA,The 2005 LUP did not mention an ecological network but the TFL 37 FLP is creating a 'Conservation Network' that fits under the IUCN definition for ecological networks.,NA,NA,NA,NA,NA
West Coast,North Island - Central Coast,Lower Nimpkish,NA,https://www2.gov.bc.ca/assets/gov/farming-natural-resources-and-industry/natural-resource-use/land-water-use/crown-land/land-use-plans-and-objectives/westcoast-region/northislandcentralcoast-lu/lower_nimpkish_lup.pdf,Sustainable Resource Management Plan (SRMP),Sustainable Resource Management Plan: Biodiversity Chapter for the Lower Nimpkish Landscape Unit,2005,BC Government,No,No,Yes,No,No,pg. 35-36.,"The plan lists connectivity as an ecological attribute for OGMA replacement, among others (e.g., forest interior habitat, patch size, suitable tree species, height, diameter), if the replacement of an OGMA is necessary.

No management objectives/strategies referring to connectivity.

Connectivity is not defined.",Partial,Lower Nimpkish Order to Establish Landscape Unit and Objectives (Forest Practices Code).,"While connectivity has not been specificaly included as a management practise, it has been partially adressed in plan as legal OGMAs have been established and an attempt has been made to connect OGMAs to other legal reserves including WHAs, UWRs, and parks/ecological reserves. TFL 37 FLP is currently being reviewed which will likely increase connectivity in the Upper Nimpkish LU through a Conservation Network of legal reserves, riparian areas, and carbon reserves. Regarding the VILUP SMZs, an adequate amount of mature + old forest is retained that contributes to connectivity ",NA,NA,NA,NA,NA,NA,NA,No,No,No,No,NA,"Wildlife/ecological corridors not mentioned.

No management objectives or strategies referring to ecological corridors.",Yes,Lower Nimpkish Order to Establish Landscape Unit and Objectives (Forest Practices Code).,An attempt was made to create corridors through establishing legal OGMAs and other reserves including WHAs and UWRs. OGMAs were also designed to connect major parks including Schoen Lake Provincial Park to legal crown reserves. ,NA,NA,NA,NA,NA,NA,No,No,No,NA,NA,No mention of ecological networks or their management.,No,NA,The 2005 LUP did not mention an ecological network but the TFL 37 FLP is creating a 'Conservation Network' that fits under the IUCN definition for ecological networks.,NA,NA,NA,NA,NA
West Coast,North Island - Central Coast,Shushartie,NA,https://www2.gov.bc.ca/assets/gov/farming-natural-resources-and-industry/natural-resource-use/land-water-use/crown-land/land-use-plans-and-objectives/westcoast-region/northislandcentralcoast-lu/shushartie_lup.pdf,Sustainable Resource Management Plan (SRMP),Ministry of Sustainable Resource Management Coast Region: Biodiversity Chapter for The Shushartie Landscape Unit,2004,BC Government,No,No,No,No,No,NA,"Connectivity is not mentioned.

No management objectives or strategies referring to wildlife/habitat connectivity.",Partial,Shushartie Order to Establish Landscape Unit and Objectives (Forest Practices Code),"While connectivity has not been specificaly included as a managment practise, it has been partially adressed in plan as legal OGMAs have been established and an attempt has been made to connect OGMAs to other legal reserves including WHAs, UWRs, and parks/ecological reserves. OGMAs have also been established along riparian areas that provide connectivity from coastal ecosystems to upland areas. ",NA,NA,NA,NA,NA,NA,NA,No,No,No,No,NA,"Wildlife/ecological corridors not mentioned.

No management objectives or strategies referring to ecological corridors.",Yes,Shushartie Order to Establish Landscape Unit and Objectives (Forest Practices Code).,An attempt was made to create corridors through establishing legal OGMAs and other reserves including WHAs and UWRs. OGMAs were also designed to connect major parks such as Cape Scott Provincial Park to legal crown reserves. Wildlife cooridors are provided by OGMAs in riparian areas. ,NA,NA,NA,NA,NA,NA,No,No,No,NA,NA,No mention of ecological networks or their management.,Yes,Shushartie Order to Establish Landscape Unit and Objectives (Forest Practices Code),"Marbled Murrelett and ungulate habitat was considered and included in OGMA design and connected through riparian areas (corridors). The Shushartie LU also overlaps the VILUP Special Management Zone (Goletas Channel) which has the legal objective of retaining old seral forest at the site series/surrogate level of representation, which would include a wide range of ecological conditions and wildlife habitat. ",NA,NA,NA,NA,NA
West Coast,North Island - Central Coast,San Josef,NA,https://www2.gov.bc.ca/assets/gov/farming-natural-resources-and-industry/natural-resource-use/land-water-use/crown-land/land-use-plans-and-objectives/westcoast-region/northislandcentralcoast-lu/san_josef_lup.pdf,Sustainable Resource Management Plan (SRMP),Ministry of Sustainable Resource Management Coast Region: Biodiversity Chapter for the San Josef Landscape Unit,2004,BC Government,No,No,Yes,No,No,pg. 8.,"The plan recognizes the Koprino resource management zone for old growth biodiversity and connectivity functions - states that further details regarding primary and secondary management objectives are provided in the Vancouver Island Summary Land Use Plan.

No outlined management objectives/strategies for connectivity.

Connectivity is not defined.",Partial,Ministerial Order - Land Use Objectives for the San Josef Landscape Unit (Section 93.4 of the Land Act),"Legal OGMAs have been establlished and connected by other legal reserves (WHAs, UWRs) and stand level features such as riparian areas and WTRAs. Connectivity not specifically mentioned in plan but I would consider it partially acheived. In 2016, legal OGMAs in the San Josef LU were redesigned by BCTS and WFP through the THLB Stabilization Pilot project. One of the objectives of the project were to optimize wildlife, old growth and socio-economic objectives","Vancouver Island Land Use Plan (VILUP) - plan refers that primary and secondary management directions for SMZ 4 Koprino are provided in the VILUP, which establishes connectivity management directions.",Vancouver Island Land Use Plan (VILUP),NA,NA,NA,NA,NA,No,No,No,No,NA,"Wildlife/ecological corridors not mentioned.

No management objectives or strategies referring to ecological corridors.",Yes,Ministerial Order - Land Use Objectives for the San Josef Landscape Unit (Section 93.4 of the Land Act),An attempt was made to create corridors through establishing legal OGMAs and other reserves including WHAs and UWRs. OGMAs were also designed to connect major parks such as Cape Scott Provincial Park to legal crown reserves. Wildlife cooridors are provided by OGMAs in riparian areas. ,NA,NA,NA,NA,NA,NA,No,No,No,NA,NA,No mention of ecological networks or their management.,Yes,Ministerial Order - Land Use Objectives for the San Josef Landscape Unit (Section 93.4 of the Land Act),"Marbled Murrelett, northern goshawk and ungulate habitat was considered and included in OGMA design Riparian areas also provide habitat and are connected to OGMAs along with stand level retention. The San Josef LU also overlaps the VILUP Special Management Zone which has the legal objective of retaining old seral forest at the site series/surrogate level of representation, which would include a wide range of ecological conditions and wildlife habitat. ",NA,NA,NA,NA,NA
